index,time,px,py,pz,qx,qy,qz,qw
0,1761145919.3832471,0.45014472631771446,0.00039667756065576304,0.1970848020066196,0.9547180443839904,0.29748016661550186,0.0020295324429172993,0.003099448669808852
1,1761145919.487851,0.45014472631771446,0.00039667756065576304,0.1970848020066196,0.9547180443839904,0.29748016661550186,0.0020295324429172993,0.003099448669808852
2,1761145919.5700037,0.45400758348161274,0.006852639548590606,0.1999278281477651,0.9532436186668121,0.3021452847612657,0.004669590227774464,0.0027800029094188434
3,1761145919.6508155,0.45400758348161274,0.006852639548590606,0.1999278281477651,0.9532436186668121,0.3021452847612657,0.004669590227774464,0.0027800029094188434
4,1761145919.7308514,0.46972146286330213,0.03454544373226536,0.20973775464271127,0.94958453961212,0.31323048365082995,0.012951895130137293,0.001666621773288869
5,1761145919.8076882,0.46972146286330213,0.03454544373226536,0.20973775464271127,0.94958453961212,0.31323048365082995,0.012951895130137293,0.001666621773288869
6,1761145919.8848746,0.4902079209624189,0.06535865999966262,0.22342778198383823,0.9442330202486731,0.3288119582459428,0.0169530341024514,-0.0037278993867390776
7,1761145919.9639442,0.4902079209624189,0.06535865999966262,0.22342778198383823,0.9442330202486731,0.3288119582459428,0.0169530341024514,-0.0037278993867390776
8,1761145920.0430546,0.513487825203074,0.09477491258300372,0.23939404301786843,0.9370521750414301,0.3484767941072037,0.02098961555298465,-0.007148585894250393
9,1761145920.119382,0.513487825203074,0.09477491258300372,0.23939404301786843,0.9370521750414301,0.3484767941072037,0.02098961555298465,-0.007148585894250393
10,1761145920.1735897,0.5320820296058787,0.12096439521859904,0.2528620952998065,0.929136058695449,0.3690841344220605,0.020197296234462706,-0.008341616158482522
11,1761145920.2505445,0.5320820296058787,0.12096439521859904,0.2528620952998065,0.929136058695449,0.3690841344220605,0.020197296234462706,-0.008341616158482522
12,1761145920.329994,0.5462207223722298,0.13788167767691828,0.26257307287626436,0.9224739736147269,0.38540638171645397,0.02074826161944853,-0.008218582172281592
13,1761145920.406217,0.5462207223722298,0.13788167767691828,0.26257307287626436,0.9224739736147269,0.38540638171645397,0.02074826161944853,-0.008218582172281592
14,1761145920.4830186,0.5592538359403879,0.15247206616340903,0.2709157145516795,0.9150079571734562,0.40283865267891683,0.02034917717291976,-0.00785002923035565
15,1761145920.5594983,0.5592538359403879,0.15247206616340903,0.2709157145516795,0.9150079571734562,0.40283865267891683,0.02034917717291976,-0.00785002923035565
16,1761145920.636245,0.5665734584624105,0.15903880761179898,0.2761647091290589,0.9094591122814712,0.4154425148807211,0.015504633150297514,-0.006740073032138942
17,1761145920.714661,0.5665734584624105,0.15903880761179898,0.2761647091290589,0.9094591122814712,0.4154425148807211,0.015504633150297514,-0.006740073032138942
18,1761145920.7916343,0.5671678039487626,0.15670744099646536,0.2770948696396481,0.905510394553788,0.42414332606355737,0.01120689124539413,-0.004679802717513516
19,1761145920.8691077,0.5671678039487626,0.15670744099646536,0.2770948696396481,0.905510394553788,0.42414332606355737,0.01120689124539413,-0.004679802717513516
20,1761145920.9466474,0.5625391043371845,0.14659954933378525,0.27300152075637246,0.9037400052075821,0.4280639074431851,0.0007634172354344282,-0.002969536682713604
21,1761145921.0267823,0.5625391043371845,0.14659954933378525,0.27300152075637246,0.9037400052075821,0.4280639074431851,0.0007634172354344282,-0.002969536682713604
22,1761145921.1027122,0.5511861307089853,0.12727026991136026,0.265018338509425,0.904709799373292,0.4258489628811084,-0.01195675910879674,0.001998975030833528
23,1761145921.1806712,0.5511861307089853,0.12727026991136026,0.265018338509425,0.904709799373292,0.4258489628811084,-0.01195675910879674,0.001998975030833528
24,1761145921.2593136,0.5337225741150344,0.10060528101340044,0.2544203828407852,0.9083102390138602,0.41757852662259076,-0.023368713898045613,0.006982579002146455
25,1761145921.3365502,0.5337225741150344,0.10060528101340044,0.2544203828407852,0.9083102390138602,0.41757852662259076,-0.023368713898045613,0.006982579002146455
26,1761145921.4136524,0.5112209219932821,0.06761513060901307,0.24030437621397355,0.914640690700947,0.40316601529210794,-0.028413159398508258,0.008747278804699268
27,1761145921.4917474,0.5112209219932821,0.06761513060901307,0.24030437621397355,0.914640690700947,0.40316601529210794,-0.028413159398508258,0.008747278804699268
28,1761145921.5659723,0.4838125048674821,0.03077485383273423,0.2233622418916491,0.9230197171713872,0.38359829705024984,-0.02862689376516529,0.007861585878085027
29,1761145921.6435323,0.4838125048674821,0.03077485383273423,0.2233622418916491,0.9230197171713872,0.38359829705024984,-0.02862689376516529,0.007861585878085027
30,1761145921.7210095,0.45537851083625525,-0.006681189744795393,0.206779018494563,0.932846684316569,0.35923430882617136,-0.026281433135231794,0.007178724833443268
31,1761145921.7983968,0.45537851083625525,-0.006681189744795393,0.206779018494563,0.932846684316569,0.35923430882617136,-0.026281433135231794,0.007178724833443268
32,1761145921.8734882,0.426254245577367,-0.044107205784473864,0.18908754646788603,0.9431292034517328,0.3314478095560611,-0.024741137298073913,0.005667758827398243
33,1761145921.949656,0.426254245577367,-0.044107205784473864,0.18908754646788603,0.9431292034517328,0.3314478095560611,-0.024741137298073913,0.005667758827398243
34,1761145922.026593,0.40002998503294246,-0.07799814841515963,0.17273466812621052,0.9528177508883987,0.3026447895639557,-0.02302482872893641,0.0030038793697528413
35,1761145922.1041052,0.40002998503294246,-0.07799814841515963,0.17273466812621052,0.9528177508883987,0.3026447895639557,-0.02302482872893641,0.0030038793697528413
36,1761145922.1820338,0.3762526220073009,-0.10810555863780219,0.15689325309730726,0.9621578691789421,0.2718695311274293,-0.01825936353919399,0.0007686769146675057
