index,time,cx,cy,cz,mqx,mqy,mqz,mqw
0,1761145919.3832471,-0.061150952242314816,0.13554558157920837,0.5923825353384018,0.1272255304303218,-0.06899335725310349,0.9274078106559016,0.34491786528983415
1,1761145919.487851,-0.06119211483746767,0.1357989553362131,0.5938030928373337,0.1698696218908695,-0.11333836708976698,0.9104008618667538,0.3598180051308579
2,1761145919.5700037,-0.06149590387940407,0.14485706885655722,0.5989054838816324,0.15475286184772852,-0.12165101476492389,0.9132937776022114,0.35657686148947526
3,1761145919.6508155,-0.05549788164595763,0.14768914878368378,0.593790868918101,0.09574893025838571,-0.06347300079037803,0.9266595768858441,0.3579180759486558
4,1761145919.7308514,-0.04966755164787173,0.14119636826217175,0.5831195414066315,0.026855909238040414,0.028073680642493416,0.9414395297440614,0.3349361736651657
5,1761145919.8076882,-0.04386625283708175,0.15004528562227884,0.5689027508099874,0.14591167537065203,0.015771679236096667,0.9286150284977571,0.3407861000286142
6,1761145919.8848746,-0.0341093169990927,0.14203901775181293,0.5426625460386276,0.1856222840986332,0.10615970316395787,0.9199198350612101,0.32866697754885965
7,1761145919.9639442,-0.027836236251459923,0.14011241495609283,0.5197203010320663,0.10345497137193838,-0.016149734785444413,0.9257681040921792,0.3633038293362226
8,1761145920.0430546,-0.0222428513225168,0.1400710791349411,0.5051090121269226,0.022058855399150323,0.117952407106095,0.9294084078835305,0.3489994955752202
9,1761145920.119382,-0.014245524071156979,0.1405755840241909,0.4844879284501076,-0.029819253609222843,0.23851732623658903,0.9035531351699374,0.35469991418622343
10,1761145920.1735897,nan,nan,nan,nan,nan,nan,nan
11,1761145920.2505445,-0.004670108978947003,0.127164197464784,0.44157663981119794,-0.01633858911835184,-0.22072788000547172,0.9750694043617099,0.015871678285937923
12,1761145920.329994,-0.015038683312013745,0.1220589317381382,0.42336761951446533,0.024524436196530438,0.056699554483538736,-0.3962307813316461,0.9160703469035136
13,1761145920.406217,-0.007359223207458854,0.13593366742134094,0.42107365528742474,-0.06965282451149325,-0.05510876636959606,0.9330281777930411,-0.34866879319920463
14,1761145920.4830186,0.004924822715111077,0.13659602776169777,0.41378243267536163,-0.1408388643804008,-0.012077866630456305,0.9358122608720908,0.32291477485423586
15,1761145920.5594983,0.00645415298640728,0.13615031354129314,0.40668024867773056,-0.03912053080831796,-0.11849425812494,0.9165567456851289,0.3799373985274174
16,1761145920.636245,0.007465317379683256,0.1367149669677019,0.40487994253635406,-0.1635381113858067,-0.03740114644709159,0.9316686165227419,0.3222577064329208
17,1761145920.714661,0.007192887831479311,0.1357161197811365,0.4000719487667084,-0.097941535325681,-0.09574589851592488,0.9278914470384325,0.3467818350034361
18,1761145920.7916343,0.006175868329592049,0.13352090306580067,0.396199032664299,-0.0246190026102587,-0.13913076762475127,0.9107119107251637,0.38812414234873993
19,1761145920.8691077,0.0042285246308892965,0.13240224868059158,0.3953516334295273,-0.03434734298721078,-0.15622320361970254,0.9111974684723804,0.3796495016854903
20,1761145920.9466474,0.0021924666652921587,0.13096714206039906,0.39468570798635483,-0.040018897172630845,-0.17348811196520197,0.9079462404922807,0.37938632981667886
21,1761145921.0267823,-0.0030756730993743986,0.12822462059557438,0.3956443965435028,-0.03624649369265098,-0.11932311622536305,0.9218520252428591,0.36692918824331217
22,1761145921.1027122,-0.01908847293816507,0.11635838821530342,0.3951493352651596,0.02439373217888415,0.05848145618959736,-0.3841975144518975,0.9210739031159839
23,1761145921.1806712,-0.010560271795839071,0.12624250166118145,0.4100829064846039,-0.026871894210166086,-0.1016203906839392,0.9243761794959092,0.36671497962225097
24,1761145921.2593136,-0.018517067035039265,0.120107797284921,0.43716103831926983,-0.1284281222180919,-0.0701551745627555,0.9892284959654178,0.0033840324468674926
25,1761145921.3365502,-0.02524700155481696,0.12653017975389957,0.45137374103069305,0.005440000167803686,-0.17104581905869043,0.9085063058844255,0.3812217548211942
26,1761145921.4136524,-0.03083750233054161,0.12564776837825775,0.4651079848408699,-0.010047499129679659,-0.14228098819478727,0.9173753303641179,0.37158803990290035
27,1761145921.4917474,-0.040833399863913655,0.12403287924826145,0.48974165320396423,0.11498160552567291,-0.32130025482399643,0.8304578773575954,0.44032384738450253
28,1761145921.5659723,-0.04712799315651258,0.11657443890968959,0.5073714156945547,0.04680886092991439,-0.3792778068806039,0.9213567549496102,0.07112668876734722
29,1761145921.6435323,-0.05367145625253519,0.11620357880989711,0.5276023348172506,-0.007145674006458244,-0.19726853146501602,0.9801835045692858,0.016563912789621042
30,1761145921.7210095,-0.06363669658700626,0.11471794794003169,0.5587817629178365,0.1376262821871549,-0.29397272064872965,0.9416941394833832,0.08860696151192668
31,1761145921.7983968,-0.07054652832448483,0.12282595224678516,0.5842769294977188,0.07281033953324147,-0.10421056108996614,0.9274854080668788,0.35158161390690473
32,1761145921.8734882,-0.07553594745695591,0.12183944880962372,0.5990708023309708,0.06604529544339115,-0.15485812022921427,0.9159581505908972,0.36424943090548917
33,1761145921.949656,-0.08242084458470345,0.12138204090297222,0.620283454656601,0.06491547031128458,-0.20228787439661006,0.9031547818243558,0.3730643880808863
34,1761145922.026593,-0.09011692926287651,0.12082787603139877,0.6444549709558487,0.1926199750976811,-0.31194302046439865,0.8375121413123552,0.4051697302752392
35,1761145922.1041052,-0.09653531573712826,0.12087496556341648,0.6649189293384552,0.2014948064991709,-0.12667165564258212,0.8992421095461994,0.3670391845968627
36,1761145922.1820338,-0.10163026675581932,0.1216253712773323,0.682897299528122,0.12569752261019854,-0.10872968531829211,0.9190162693794441,0.35747319473791683
